id	Sample_134203	Sample_134204	Sample_134205	Sample_134206	Sample_134207	Sample_134208	Sample_134209	Sample_134210	Sample_134211	Sample_134212	Sample_134213	Sample_134214	Sample_134215	Sample_134216	Sample_134217	Sample_134218	Sample_134219	Sample_134220	Sample_134221	Sample_134222	Sample_134223	Sample_134224	Sample_134225	Sample_134226	Sample_134227	Sample_134228	Sample_134229	Sample_134230	Sample_134231	Sample_134232	Sample_134233	Sample_134234	Sample_134235	Sample_134236	Sample_134237	Sample_134238
ENSRNOG00000000001	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0
ENSRNOG00000000007	832	607	582	628	427	727	1	894	538	733	382	523	612	674	364	730	546	665	0	384	411	0	420	764	0	856	124	1047	636	139	454	723	1104	1215	106	1831
ENSRNOG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000010	0	0	0	3	0	0	0	0	35	0	0	0	148	0	0	0	0	0	0	70	76	0	0	0	0	0	0	0	214	0	0	39	0	0	0	0
ENSRNOG00000000012	0	0	0	93	0	0	0	0	30	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	69	0	0	41
ENSRNOG00000000017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000021	0	0	0	0	0	0	0	177	0	0	0	58	2	0	0	0	0	0	0	101	0	0	0	0	376	0	0	0	167	196	0	0	84	246	0	42
ENSRNOG00000000024	254	0	373	22	15	0	0	200	155	0	0	0	61	157	0	0	278	0	83	290	56	0	0	220	67	0	17	142	0	0	81	17	50	20	0	251
ENSRNOG00000000033	652	1446	824	1177	1709	318	0	605	1231	643	635	1219	1013	806	1363	1500	196	1172	353	708	539	2394	708	1071	1135	1874	983	823	825	213	360	515	793	396	716	1692
ENSRNOG00000000034	0	0	96	0	182	0	0	0	62	0	100	0	0	75	0	0	0	38	0	0	4	0	0	0	0	0	7	0	65	0	0	28	61	61	382	0
ENSRNOG00000000036	0	0	0	0	0	173	0	0	54	0	256	139	36	57	709	214	0	81	49	0	127	0	0	132	0	0	0	0	0	1	123	68	98	150	0	149
ENSRNOG00000000040	161	0	0	1	182	48	973	88	121	90	164	0	95	90	379	0	0	288	0	0	270	0	0	34	218	0	33	0	205	202	0	112	118	137	109	91
ENSRNOG00000000041	51	0	0	80	0	442	0	0	144	118	478	148	55	2	0	147	0	128	49	45	0	0	124	8	265	0	0	51	289	168	113	0	18	175	95	143
ENSRNOG00000000042	177	168	78	397	639	117	0	139	44	70	90	272	386	211	444	504	286	540	335	108	79	0	0	314	118	132	82	397	206	3	210	229	262	703	340	747
ENSRNOG00000000043	0	40	275	289	225	0	590	163	106	91	180	444	250	112	0	134	0	173	450	121	59	0	55	475	47	0	32	0	218	314	343	121	177	241	251	377
ENSRNOG00000000044	0	0	362	39	67	221	0	81	88	0	163	44	250	257	218	14	0	257	123	131	66	0	0	177	47	25	0	331	92	1	0	89	23	83	50	376
ENSRNOG00000000047	0	0	211	65	74	0	0	0	0	0	0	0	146	0	0	0	0	0	92	0	0	0	0	0	211	131	93	0	71	0	59	0	55	0	142	112
ENSRNOG00000000048	282	648	569	526	799	214	613	141	644	528	550	1417	420	944	200	556	331	276	536	778	722	1173	0	547	1065	388	616	1035	443	1470	358	641	944	710	746	1199
ENSRNOG00000000053	0	37	3	0	0	0	0	85	2	1	1	0	3	57	0	0	0	1	0	0	1	1	0	0	1	48	1	3	0	1	2	39	0	85	194	2
ENSRNOG00000000054	105	721	184	712	409	106	102	339	356	374	503	559	349	650	370	648	0	443	230	373	144	0	320	296	600	275	202	881	260	403	199	939	1069	421	209	1153
ENSRNOG00000000060	1065	1738	338	1301	5802	2221	4574	4547	5300	4828	1824	1811	2395	1493	3161	2757	902	2250	418	1539	1589	1711	612	1604	3179	4571	1727	4009	3595	3501	1728	3615	5220	4207	1180	5311
ENSRNOG00000000062	97	283	132	287	382	238	532	383	280	225	77	409	86	166	539	139	2	250	0	586	392	416	219	77	86	0	4	63	310	389	177	158	223	315	188	556
ENSRNOG00000000064	0	136	417	114	46	0	0	90	159	0	268	69	82	112	285	10	0	42	0	1	56	389	0	58	0	0	0	94	116	0	0	71	42	102	0	71
ENSRNOG00000000066	0	69	552	101	73	0	300	158	161	0	143	0	146	608	0	134	0	35	87	37	0	0	0	0	106	0	0	185	97	96	105	6	148	173	0	83
ENSRNOG00000000068	296	149	700	654	285	139	0	179	474	101	276	59	402	216	215	458	0	293	443	54	165	338	0	353	212	29	182	319	350	534	105	277	451	102	0	234
ENSRNOG00000000070	431	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	77	0	104	0
ENSRNOG00000000073	0	101	267	14	0	0	0	254	0	1	181	0	58	107	0	0	0	0	0	0	0	0	165	0	12	76	154	0	0	143	0	0	52	3	0	0
ENSRNOG00000000075	0	571	0	326	17	115	0	29	4	0	161	209	205	91	160	213	0	118	261	22	0	0	0	329	22	0	173	152	0	238	290	73	185	326	0	363
ENSRNOG00000000081	128	0	331	1	0	0	0	0	0	0	0	41	0	0	179	0	0	0	190	0	0	0	0	113	0	0	0	0	0	0	65	0	0	0	263	33
ENSRNOG00000000082	122	0	243	138	6	0	0	240	100	97	116	117	193	315	265	371	194	507	64	251	24	0	0	259	74	0	0	109	195	147	175	268	373	129	210	403
ENSRNOG00000000091	0	0	221	0	0	0	0	0	41	0	0	0	88	24	0	35	0	55	0	45	0	0	0	300	0	0	0	126	0	0	0	0	0	0	0	0
ENSRNOG00000000095	0	135	0	144	0	0	0	0	43	271	135	139	103	33	0	16	0	126	24	56	0	0	0	104	0	0	219	191	6	0	0	41	58	0	0	131
ENSRNOG00000000096	0	0	0	0	76	0	0	26	0	0	0	0	26	0	0	0	0	0	88	0	0	0	0	0	0	101	0	33	0	0	0	49	32	0	0	56
ENSRNOG00000000098	0	515	0	464	75	0	0	209	130	13	176	324	133	57	134	430	242	590	56	337	140	201	1	125	55	399	202	40	117	200	0	285	319	267	0	627
ENSRNOG00000000104	0	51	262	30	100	88	0	1	25	27	179	67	32	305	0	0	0	190	0	0	0	0	0	18	0	401	285	359	0	53	0	72	72	147	0	233
ENSRNOG00000000105	3440	7334	1832	3015	8148	6801	4663	6862	7139	6455	5409	5846	5395	4875	4165	3332	1412	4840	1309	3584	3628	5700	2058	3880	7906	9172	4906	3683	5686	6792	2831	6443	8281	6010	6230	9634
ENSRNOG00000000108	100	0	0	22	0	0	0	0	52	0	0	0	118	0	0	129	0	4	21	0	155	297	275	0	0	321	0	0	243	0	0	106	4	0	102	58
ENSRNOG00000000111	0	21	0	15	24	0	0	9	189	111	187	0	72	85	169	76	0	0	89	178	0	0	0	81	0	70	0	78	104	405	0	23	190	101	268	135
ENSRNOG00000000112	0	438	1029	501	570	86	423	290	245	410	636	261	157	267	0	512	0	485	106	201	366	0	0	678	241	51	112	272	133	43	654	405	365	207	871	319
ENSRNOG00000000113	0	115	310	124	0	0	0	71	111	34	77	46	57	155	231	208	0	78	0	64	56	0	0	0	0	51	0	2	255	2	5	27	70	281	0	0
ENSRNOG00000000121	0	95	0	0	0	0	0	4	0	0	0	0	109	0	304	0	0	0	37	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000122	2	21	0	9	128	0	0	0	67	0	0	0	3	0	0	0	132	0	115	0	0	0	0	0	184	115	0	0	0	44	0	89	48	94	0	313
ENSRNOG00000000123	329	96	739	173	109	127	0	127	118	62	415	190	502	183	0	301	177	166	188	218	198	890	363	157	29	0	308	619	227	20	289	150	298	104	7	461
ENSRNOG00000000127	344	172	1072	310	306	0	460	299	384	302	267	642	392	294	198	128	262	161	134	234	409	0	120	442	206	546	187	1050	700	451	240	632	774	679	119	474
ENSRNOG00000000129	206	72	0	496	481	629	0	264	652	518	697	585	208	710	56	656	0	598	186	326	734	338	745	349	362	311	267	335	525	621	553	692	717	418	171	640
ENSRNOG00000000130	1287	999	338	1072	1400	888	0	1248	589	318	325	293	644	770	409	491	682	1007	218	608	29	1067	725	546	632	808	169	569	311	241	649	907	361	764	738	1041
ENSRNOG00000000133	291	150	0	308	439	136	0	83	405	87	479	156	163	423	154	434	89	206	129	102	87	0	1223	159	37	146	79	333	150	0	309	64	129	292	63	56
ENSRNOG00000000137	0	0	0	0	0	0	0	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ENSRNOG00000000138	177	0	0	144	0	0	0	0	0	0	0	0	0	0	0	62	0	35	42	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	245	0
ENSRNOG00000000142	227	530	380	454	736	0	0	606	209	568	678	260	514	171	168	399	17	164	307	268	276	0	205	451	245	303	166	323	163	433	448	320	440	335	244	640
ENSRNOG00000000145	304	0	0	146	202	0	0	179	62	243	0	209	98	80	0	243	0	56	50	23	0	1	0	111	129	0	0	36	196	47	196	88	61	175	572	297
ENSRNOG00000000150	340	726	317	341	37	0	0	141	280	30	356	198	209	393	506	148	0	117	51	172	75	500	227	128	56	138	290	230	234	0	101	144	175	186	0	557
ENSRNOG00000000151	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	320	0	120	0	16	0	0	0	0	0	64	4	231	107
ENSRNOG00000000155	99	290	207	35	25	436	0	137	152	392	229	97	106	486	0	243	0	87	54	80	222	273	0	233	312	321	94	112	288	108	155	221	351	43	7	133
ENSRNOG00000000156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	44	0	0	90	0	0	0	0	0	0	0	0	69	41	62	0
ENSRNOG00000000157	221	196	82	277	0	195	0	116	35	88	0	155	147	139	478	263	150	71	0	77	53	493	0	283	141	0	128	175	0	369	0	116	142	247	0	533
ENSRNOG00000000158	0	241	0	171	0	0	0	70	17	103	126	529	47	163	53	55	272	257	135	50	70	0	0	202	0	1	36	87	174	339	0	163	147	43	0	26
ENSRNOG00000000161	170	68	111	110	92	118	0	0	4	336	0	234	104	27	297	366	0	65	25	94	35	0	0	118	289	123	138	270	216	116	154	177	180	236	0	557
ENSRNOG00000000164	74	52	289	245	0	0	0	0	35	0	199	197	224	60	0	0	40	216	283	654	329	0	0	143	66	0	190	243	243	278	0	40	289	242	1	416
ENSRNOG00000000166	0	0	174	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	39	126	0	24	17	41	0	101
ENSRNOG00000000167	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000168	356	702	473	368	92	135	431	327	177	68	102	7	261	15	665	640	506	123	212	305	419	0	0	220	528	156	127	30	160	329	0	178	352	305	309	759
