gene_names,ext_names,degree,closeness,betweenness,eigenvector,degRank,closeRank,eigRank,betRank,avgRank
ENSRNOG00000000007,Gad1,77.6316,1.9893,0.0364,0.0904,9.0000,2.0000,10.0000,2.0000,5.7500
ENSRNOG00000000098,Rnf115,50.4912,1.5955,0.0050,0.0583,173.0000,115.0000,175.0000,55.0000,129.5000
ENSRNOG00000000111,Coprs,47.2425,1.4522,0.0002,0.0540,211.0000,200.0000,213.0000,141.0000,191.2500
ENSRNOG00000000122,Ak2,18.9742,1.2017,0.0000,0.0208,223.0000,223.0000,224.0000,147.0000,204.2500
ENSRNOG00000000166,Apex2,52.0588,1.5078,0.0007,0.0599,158.0000,182.0000,161.0000,126.0000,156.7500
ENSRNOG00000000327,Hace1,52.3922,1.5524,0.0011,0.0596,153.0000,148.0000,163.0000,117.0000,145.2500
ENSRNOG00000000397,Ccar1,75.0691,1.7136,0.0053,0.0857,11.0000,55.0000,16.0000,52.0000,33.5000
ENSRNOG00000000473,Pfdn6,64.0165,1.7330,0.0046,0.0753,39.0000,48.0000,41.0000,59.0000,46.7500
ENSRNOG00000000483,Syngap1,49.7678,1.5660,0.0025,0.0563,179.0000,140.0000,192.0000,86.0000,149.2500
ENSRNOG00000000490,Rps10,74.3612,1.8769,0.0196,0.0863,12.0000,9.0000,13.0000,6.0000,10.0000
ENSRNOG00000000498,Anks1a,48.5397,1.3720,0.0000,0.0550,196.0000,221.0000,204.0000,147.0000,192.0000
ENSRNOG00000000505,Rpl10a,58.8875,1.6186,0.0010,0.0699,72.0000,101.0000,62.0000,119.0000,88.5000
ENSRNOG00000000511,Srpk1,57.6089,1.6796,0.0094,0.0646,84.0000,69.0000,106.0000,22.0000,70.2500
ENSRNOG00000000523,Ppil1,52.1342,1.5480,0.0000,0.0623,156.0000,153.0000,128.0000,147.0000,146.0000
ENSRNOG00000000551,Fam241b,49.5562,1.5679,0.0005,0.0588,183.0000,138.0000,168.0000,132.0000,155.2500
ENSRNOG00000000560,Lrrc20,52.5377,1.5039,0.0011,0.0595,152.0000,183.0000,166.0000,116.0000,154.2500
ENSRNOG00000000568,Slc29a3,66.1920,1.6431,0.0071,0.0759,29.0000,86.0000,35.0000,30.0000,45.0000
ENSRNOG00000000572,Chst3,63.1125,1.7611,0.0016,0.0736,42.0000,37.0000,44.0000,103.0000,56.5000
ENSRNOG00000000579,Marcks,57.0547,1.6043,0.0035,0.0645,92.0000,108.0000,107.0000,72.0000,94.7500
ENSRNOG00000000610,Cisd1,47.7657,1.4300,0.0020,0.0534,207.0000,207.0000,216.0000,95.0000,181.2500
ENSRNOG00000000633,Rhobtb1,50.6264,1.5101,0.0003,0.0585,172.0000,179.0000,172.0000,136.0000,164.7500
ENSRNOG00000000636,Rtkn2,53.3756,1.6250,0.0042,0.0606,138.0000,96.0000,150.0000,64.0000,112.0000
ENSRNOG00000000661,Hps4,86.1713,1.8718,0.0207,0.0996,3.0000,10.0000,3.0000,5.0000,5.2500
ENSRNOG00000000729,Tmlhe,52.8266,1.6144,0.0024,0.0615,148.0000,104.0000,143.0000,89.0000,121.0000
ENSRNOG00000000763,RT1-M3-1,49.9639,1.5934,0.0056,0.0554,176.0000,116.0000,200.0000,43.0000,133.7500
ENSRNOG00000000786,Rpp21,54.1269,1.5708,0.0022,0.0622,128.0000,137.0000,131.0000,92.0000,122.0000
ENSRNOG00000000800,Man1a1,53.4778,1.5338,0.0025,0.0614,137.0000,161.0000,145.0000,87.0000,132.5000
ENSRNOG00000000802,Tbc1d32,59.0609,1.6728,0.0008,0.0708,69.0000,72.0000,56.0000,125.0000,80.5000
ENSRNOG00000000853,Aif1,58.6481,1.7382,0.0100,0.0656,75.0000,45.0000,97.0000,20.0000,59.2500
ENSRNOG00000000867,Vars1,49.4448,1.5087,0.0009,0.0576,186.0000,180.0000,185.0000,121.0000,168.0000
ENSRNOG00000000893,Tmem248,59.0186,1.6901,0.0023,0.0696,70.0000,66.0000,63.0000,91.0000,72.5000
ENSRNOG00000000901,Crcp,46.8958,1.3926,0.0002,0.0535,212.0000,218.0000,215.0000,139.0000,196.0000
ENSRNOG00000000926,Mrps17,47.2910,1.4973,0.0003,0.0556,209.0000,187.0000,198.0000,137.0000,182.7500
ENSRNOG00000000936,Stx2,49.3983,1.5206,0.0002,0.0596,187.0000,168.0000,164.0000,140.0000,164.7500
ENSRNOG00000000963,Tmem132c,53.2879,1.6466,0.0027,0.0628,140.0000,83.0000,124.0000,85.0000,108.0000
ENSRNOG00000000964,Frg1l1,78.4221,1.8027,0.0055,0.0916,8.0000,21.0000,7.0000,46.0000,20.5000
ENSRNOG00000000985,Cpsf4l2,47.9381,1.4031,0.0000,0.0556,203.0000,215.0000,197.0000,146.0000,190.2500
ENSRNOG00000000987,Ptcd1,50.8999,1.5490,0.0001,0.0602,170.0000,150.0000,160.0000,145.0000,156.2500
ENSRNOG00000001003,Trappc5,74.0506,1.7784,0.0055,0.0857,15.0000,30.0000,15.0000,48.0000,27.0000
ENSRNOG00000001004,Ncor2,61.5284,1.7265,0.0003,0.0734,49.0000,50.0000,45.0000,137.0000,70.2500
ENSRNOG00000001040,Pms2,67.3158,1.7471,0.0063,0.0785,26.0000,41.0000,24.0000,37.0000,32.0000
ENSRNOG00000001060,Snrnp35,65.5521,1.7749,0.0134,0.0756,33.0000,31.0000,38.0000,14.0000,29.0000
ENSRNOG00000001074,Mphosph9,53.8173,1.5202,0.0006,0.0630,132.0000,170.0000,121.0000,130.0000,138.2500
ENSRNOG00000001099,Rbak,46.2704,1.4248,0.0005,0.0543,216.0000,209.0000,212.0000,133.0000,192.5000
ENSRNOG00000001101,Rnf216,50.4097,1.5442,0.0009,0.0586,174.0000,155.0000,171.0000,121.0000,155.2500
ENSRNOG00000001108,N4bp2l2,64.3395,1.7361,0.0007,0.0766,38.0000,46.0000,32.0000,128.0000,61.0000
ENSRNOG00000001114,Wipi2,48.3344,1.5717,0.0008,0.0564,197.0000,136.0000,189.0000,125.0000,161.7500
ENSRNOG00000001123,Spring1,49.8875,1.5631,0.0030,0.0560,177.0000,142.0000,195.0000,81.0000,148.7500
ENSRNOG00000001138,Taok3,51.4551,1.5335,0.0011,0.0581,165.0000,163.0000,176.0000,117.0000,155.2500
ENSRNOG00000001149,Pxn,52.0021,1.4995,0.0003,0.0605,159.0000,186.0000,151.0000,136.0000,158.0000
ENSRNOG00000001163,Srsf9,57.5077,1.6345,0.0053,0.0663,85.0000,92.0000,92.0000,52.0000,80.2500
ENSRNOG00000001173,Cabp1,55.8689,1.5513,0.0010,0.0636,105.0000,149.0000,117.0000,118.0000,122.2500
ENSRNOG00000001182,Ndufv3,56.7781,1.5998,0.0043,0.0632,94.0000,114.0000,119.0000,63.0000,97.5000
ENSRNOG00000001210,Pwp2,82.1610,1.9136,0.0154,0.0950,4.0000,7.0000,4.0000,9.0000,6.0000
ENSRNOG00000001235,Gna12,55.8865,1.6003,0.0001,0.0675,104.0000,112.0000,77.0000,144.0000,109.2500
ENSRNOG00000001249,Col6a1,60.6976,1.7652,0.0102,0.0707,58.0000,34.0000,57.0000,19.0000,42.0000
ENSRNOG00000001295,S100b,56.3880,1.6493,0.0054,0.0647,99.0000,81.0000,105.0000,50.0000,83.7500
ENSRNOG00000001314,Fam20c,52.3385,1.5529,0.0024,0.0603,155.0000,147.0000,157.0000,90.0000,137.2500
ENSRNOG00000001316,Anapc5,67.1858,1.7532,0.0071,0.0777,27.0000,39.0000,28.0000,29.0000,30.7500
ENSRNOG00000001335,Zkscan1,56.6677,1.9257,0.0056,0.0669,96.0000,6.0000,84.0000,44.0000,57.5000
ENSRNOG00000001346,Cops6,79.9556,1.8435,0.0103,0.0926,5.0000,14.0000,6.0000,18.0000,10.7500
ENSRNOG00000001368,Rph3a,54.7441,1.6359,0.0000,0.0664,114.0000,91.0000,91.0000,146.0000,110.5000
ENSRNOG00000001376,Tmt1a,26.9969,1.2000,0.0000,0.0300,222.0000,224.0000,223.0000,147.0000,204.0000
ENSRNOG00000001397,Rbm19,57.9340,1.7662,0.0191,0.0663,81.0000,33.0000,93.0000,7.0000,53.5000
ENSRNOG00000001408,Actl6b,53.0144,1.5173,0.0002,0.0603,145.0000,173.0000,156.0000,142.0000,154.0000
ENSRNOG00000001416,Vgf,57.4892,1.6638,0.0017,0.0674,86.0000,75.0000,79.0000,101.0000,85.2500
ENSRNOG00000001427,Orai2,46.0609,1.4627,0.0002,0.0531,217.0000,197.0000,217.0000,141.0000,193.0000
ENSRNOG00000001432,Dtx2,57.7028,1.6217,0.0019,0.0666,82.0000,100.0000,89.0000,96.0000,91.7500
ENSRNOG00000001441,Tmem120a,60.0619,1.6866,0.0047,0.0684,64.0000,68.0000,73.0000,58.0000,65.7500
ENSRNOG00000001443,Rhbdd2,54.3478,1.5162,0.0020,0.0617,122.0000,174.0000,139.0000,94.0000,132.2500
ENSRNOG00000001455,Kif13a,61.4200,1.7424,0.0024,0.0710,51.0000,43.0000,55.0000,89.0000,59.5000
ENSRNOG00000001457,Rfc2,60.9412,1.7969,0.0016,0.0718,57.0000,23.0000,51.0000,104.0000,58.7500
ENSRNOG00000001478,Gtf2ird1,58.2270,1.6423,0.0011,0.0688,78.0000,88.0000,72.0000,117.0000,88.7500
ENSRNOG00000001494,Napa,68.2415,1.8007,0.0061,0.0805,23.0000,22.0000,21.0000,39.0000,26.2500
ENSRNOG00000001517,Pdk1,50.7936,1.4514,0.0000,0.0590,171.0000,201.0000,167.0000,146.0000,171.2500
ENSRNOG00000001519,Dlx2,55.6295,1.7055,0.0115,0.0642,106.0000,58.0000,112.0000,17.0000,73.2500
ENSRNOG00000001548,Nfe2l2,58.3199,1.5879,0.0023,0.0666,77.0000,122.0000,88.0000,91.0000,94.5000
ENSRNOG00000001559,Mtx2,54.3787,1.5488,0.0002,0.0647,121.0000,151.0000,103.0000,143.0000,129.5000
ENSRNOG00000001575,Grik1,12.0619,1.0784,0.0000,0.0126,227.0000,229.0000,229.0000,147.0000,208.0000
ENSRNOG00000001598,Usp16,69.5604,1.8344,0.0118,0.0818,20.0000,17.0000,19.0000,16.0000,18.0000
ENSRNOG00000001602,Ltn1,58.0464,1.4891,0.0010,0.0636,80.0000,190.0000,116.0000,118.0000,126.0000
ENSRNOG00000001607,Adamts1,54.7141,1.7097,0.0016,0.0648,115.0000,57.0000,101.0000,105.0000,94.5000
ENSRNOG00000001608,Nxpe3,60.2683,1.7488,0.0029,0.0710,62.0000,40.0000,54.0000,83.0000,59.7500
ENSRNOG00000001609,Cep97,53.0454,1.4570,0.0008,0.0609,144.0000,199.0000,149.0000,123.0000,153.7500
ENSRNOG00000001611,Rpl24,51.6017,1.4821,0.0013,0.0597,161.0000,193.0000,162.0000,112.0000,157.0000
ENSRNOG00000001620,Prdm15,65.4561,1.8288,0.0065,0.0771,34.0000,18.0000,30.0000,35.0000,29.2500
ENSRNOG00000001621,C2cd2,68.7018,1.6989,0.0096,0.0783,22.0000,63.0000,25.0000,21.0000,32.7500
ENSRNOG00000001623,Zbtb21,60.6873,1.7326,0.0078,0.0706,59.0000,49.0000,59.0000,27.0000,48.5000
ENSRNOG00000001657,Cldnd1,46.4510,1.5027,0.0001,0.0545,215.0000,184.0000,208.0000,144.0000,187.7500
ENSRNOG00000001704,Runx1,48.2528,1.4930,0.0001,0.0579,200.0000,188.0000,181.0000,144.0000,178.2500
ENSRNOG00000001708,Dvl3,54.2642,1.6759,0.0051,0.0616,124.0000,71.0000,141.0000,54.0000,97.5000
ENSRNOG00000001714,Atp13a4,64.4386,1.7587,0.0143,0.0741,37.0000,38.0000,43.0000,10.0000,32.0000
