n_neighbors,min_dist,eps,min_samples,min_mod_size,silhouette_score,davies_bouldin_index,silhouette_norm,dbi_norm,composite_score
3,0.001,0.3,10,50,0.655706,0.44049024343979154,0.95698637,1.0,0.9806438565254212
3,0.01,0.4,10,50,0.6647974,0.4904900202886157,1.0,0.8050773551947842,0.8927925334362024
3,0.01,0.4,13,50,0.6635287,0.49301803928290705,0.9939973,0.7952219482401695,0.8846708367145883
3,0.01,0.4,12,50,0.6635287,0.49301803928290705,0.9939973,0.7952219482401695,0.8846708367145883
3,0.001,0.4,12,50,0.63397866,0.4869190961953809,0.8541896,0.8189984966982061,0.8348344609457017
3,0.001,0.4,13,50,0.6335659,0.486803829923788,0.85223675,0.8194478588340343,0.8342028588424835
3,0.001,0.3,12,50,0.6390608,0.49691081157419686,0.87823427,0.7800460910971088,0.8242307584381419
3,0.001,0.4,10,50,0.6324046,0.4906552057079677,0.84674245,0.804433384744262,0.8234724676255032
5,0.001,0.4,13,50,0.64666283,0.5073303516857436,0.9142012,0.7394258234839647,0.8180747459001894
5,0.001,0.4,12,50,0.64666283,0.5073303516857436,0.9142012,0.7394258234839647,0.8180747459001894
5,0.001,0.4,10,50,0.64666283,0.5073303516857436,0.9142012,0.7394258234839647,0.8180747459001894
5,0.001,0.3,10,50,0.64666283,0.5073303516857436,0.9142012,0.7394258234839647,0.8180747459001894
3,0.001,0.3,13,50,0.638428,0.5041304923735499,0.87524027,0.7519003799609514,0.8074033139227524
5,0.001,0.3,13,50,0.63185704,0.5011426229724967,0.84415174,0.7635485000665028,0.7998199440032514
3,0.01,0.3,13,50,0.62593234,0.4952883875517666,0.8161206,0.7863710629545594,0.7997583418271561
3,0.01,0.3,10,50,0.6257038,0.498470928806277,0.81503946,0.7739640204110191,0.7924479455152298
3,0.01,0.3,12,50,0.6258851,0.4990378625569881,0.8158973,0.7717538460245998,0.7916183790845871
5,0.001,0.3,12,50,0.6208315,0.510327617237366,0.7919874,0.7277410727645315,0.756651910746887
5,0.01,0.3,13,50,0.6317287,0.5229659244274222,0.84354454,0.6784710076041414,0.7527540954573022
5,0.01,0.3,12,50,0.6314612,0.5251976498509439,0.84227896,0.669770692333792,0.7473993996777812
5,0.01,0.3,10,50,0.62604505,0.5244291941664271,0.8166539,0.6727664939929575,0.7375158270004631
5,0.01,0.4,13,50,0.62460613,0.523838111555092,0.80984604,0.6750708119951792,0.7357196423695196
5,0.01,0.4,12,50,0.62478703,0.5245711480440318,0.81070197,0.6722130910178455,0.7345330610465246
5,0.01,0.4,10,50,0.45343554,0.697001111629521,0.0,0.0,0.0
