id,hasEnsData,name,type,length
ENSRNOG00000000001,True,Arsj,protein_coding,79958
ENSRNOG00000000007,True,Gad1,protein_coding,40629
ENSRNOG00000000008,True,Alx4,protein_coding,36541
ENSRNOG00000000010,True,Cbln1,protein_coding,3856
ENSRNOG00000000012,True,Tcf15,protein_coding,5782
ENSRNOG00000000017,True,Steap1,protein_coding,10570
ENSRNOG00000000021,True,Fbxl14-ps1,protein_coding,1205
ENSRNOG00000000024,True,Hebp1,protein_coding,29535
ENSRNOG00000000033,True,Tmcc2,protein_coding,37687
ENSRNOG00000000034,True,Nuak2,protein_coding,16772
ENSRNOG00000000036,True,Klhdc8a,protein_coding,8085
ENSRNOG00000000040,True,Kiaa1614,protein_coding,32228
ENSRNOG00000000041,True,Slc26a1,protein_coding,5606
ENSRNOG00000000042,True,Xpr1,protein_coding,139566
ENSRNOG00000000043,True,Idua,protein_coding,14351
ENSRNOG00000000044,True,Tmem175,protein_coding,16296
ENSRNOG00000000047,True,Cd82,protein_coding,45922
ENSRNOG00000000048,True,Gak,protein_coding,126532
ENSRNOG00000000053,True,Crp,protein_coding,50201
ENSRNOG00000000054,True,Abhd8,protein_coding,13203
ENSRNOG00000000060,False,,,
ENSRNOG00000000062,True,Pcgf3,protein_coding,57846
ENSRNOG00000000064,True,Atp5me,protein_coding,1145
ENSRNOG00000000066,True,Fbxo28,protein_coding,25468
ENSRNOG00000000068,True,Ppp2r5a,protein_coding,44397
ENSRNOG00000000070,True,Dr1,protein_coding,11415
ENSRNOG00000000073,True,Tmed5,protein_coding,20607
ENSRNOG00000000075,True,Mtf2,protein_coding,42778
ENSRNOG00000000081,True,Antxr2,protein_coding,140322
ENSRNOG00000000082,True,Hltf,protein_coding,59603
ENSRNOG00000000091,True,Smad9,protein_coding,19836
ENSRNOG00000000095,True,Gpr89b,protein_coding,44146
ENSRNOG00000000096,True,Pdzk1,protein_coding,31353
ENSRNOG00000000098,True,Rnf115,protein_coding,67452
ENSRNOG00000000104,True,Thoc3,protein_coding,9231
ENSRNOG00000000105,True,Cplx2,protein_coding,71508
ENSRNOG00000000108,True,Aga,protein_coding,11943
ENSRNOG00000000111,True,Coprs,protein_coding,6314
ENSRNOG00000000112,True,Champ1,protein_coding,11179
ENSRNOG00000000113,True,Elac1,protein_coding,17353
ENSRNOG00000000121,True,Pigv,protein_coding,11887
ENSRNOG00000000122,True,Ak2,protein_coding,18569
ENSRNOG00000000123,True,Rnf19b,protein_coding,25262
ENSRNOG00000000127,True,Kpna6,protein_coding,29552
ENSRNOG00000000129,True,Phf24,protein_coding,25865
ENSRNOG00000000130,True,Dnajb5,protein_coding,8645
ENSRNOG00000000133,True,Txndc15,protein_coding,65455
ENSRNOG00000000137,True,Ly86,protein_coding,71430
ENSRNOG00000000138,True,Glis1,protein_coding,190013
ENSRNOG00000000142,True,Plxdc2,protein_coding,388913
ENSRNOG00000000145,True,Pik3r3,protein_coding,71354
ENSRNOG00000000150,True,Dnajc1,protein_coding,156751
ENSRNOG00000000151,True,Ldlrap1,protein_coding,22994
ENSRNOG00000000155,True,Cog3,protein_coding,49757
ENSRNOG00000000156,True,Megf6,protein_coding,100787
ENSRNOG00000000157,True,Atg12,protein_coding,10227
ENSRNOG00000000158,True,Cdo1,protein_coding,14822
ENSRNOG00000000161,True,Chm,protein_coding,158739
ENSRNOG00000000164,True,Lamp2,protein_coding,202916
ENSRNOG00000000166,True,Apex2,protein_coding,21020
ENSRNOG00000000167,True,Alas2,protein_coding,23348
ENSRNOG00000000168,True,Gatm,protein_coding,25178
ENSRNOG00000000169,True,Afg2b,protein_coding,13000
ENSRNOG00000000170,True,Slc30a4,protein_coding,22033
ENSRNOG00000000172,True,Sqor,protein_coding,119528
ENSRNOG00000000175,True,Mier2,protein_coding,15729
ENSRNOG00000000177,True,Plpp2,protein_coding,8123
ENSRNOG00000000185,True,Mpst,protein_coding,7466
ENSRNOG00000000186,True,Tst,protein_coding,9154
ENSRNOG00000000187,True,Csf2rb,protein_coding,17732
ENSRNOG00000000190,True,Ep300,protein_coding,29841
ENSRNOG00000000195,True,Vwa5a,protein_coding,23902
ENSRNOG00000000196,True,Cyp19a1,protein_coding,27593
ENSRNOG00000000204,True,Syncrip,protein_coding,32649
ENSRNOG00000000219,True,Ano10,protein_coding,121005
ENSRNOG00000000221,True,Abhd5,protein_coding,26058
ENSRNOG00000000230,True,Lmf1,protein_coding,86525
ENSRNOG00000000231,True,Kctd17,protein_coding,29867
ENSRNOG00000000233,True,Grm6,protein_coding,14732
ENSRNOG00000000236,True,Zfp207,pseudogene,11646
ENSRNOG00000000237,True,C10h17orf75,protein_coding,12940
ENSRNOG00000000239,True,Ccl7,protein_coding,1857
ENSRNOG00000000244,True,Coil,protein_coding,20905
ENSRNOG00000000245,True,Slc16a6,protein_coding,22535
ENSRNOG00000000246,True,Amz2,protein_coding,10535
ENSRNOG00000000247,True,Mfsd11,protein_coding,19013
ENSRNOG00000000248,True,Srsf2,protein_coding,3024
ENSRNOG00000000249,True,Mettl23,protein_coding,4663
ENSRNOG00000000250,True,Jmjd6,protein_coding,6062
ENSRNOG00000000251,True,St6galnac1,protein_coding,10385
ENSRNOG00000000257,True,Smpd3,protein_coding,83408
ENSRNOG00000000258,True,Prmt7,protein_coding,51830
ENSRNOG00000000262,True,Zfp821,protein_coding,18203
ENSRNOG00000000264,True,Def8,protein_coding,20760
ENSRNOG00000000274,True,Phyhipl,protein_coding,40812
ENSRNOG00000000275,True,Fam13c,protein_coding,121964
ENSRNOG00000000277,True,Tet1,protein_coding,64932
ENSRNOG00000000279,True,Rtn4ip1,protein_coding,40104
ENSRNOG00000000281,True,Prodh,protein_coding,17168
ENSRNOG00000000283,True,Ess2,protein_coding,8921
ENSRNOG00000000288,True,Scarf2,protein_coding,11385
ENSRNOG00000000299,True,Foxo3,protein_coding,91566
ENSRNOG00000000302,True,Sesn1,protein_coding,92826
ENSRNOG00000000303,True,Cep57l1,protein_coding,56496
ENSRNOG00000000304,True,Cd164,protein_coding,11661
ENSRNOG00000000306,True,Smpd2,protein_coding,3210
ENSRNOG00000000307,True,Mical1,protein_coding,11951
ENSRNOG00000000308,True,Zbtb24,protein_coding,16666
ENSRNOG00000000312,True,Fig4,protein_coding,123241
ENSRNOG00000000314,True,Sec63,protein_coding,68954
ENSRNOG00000000316,True,Sobp,protein_coding,180776
ENSRNOG00000000321,True,Cd24,protein_coding,6150
ENSRNOG00000000322,True,Atg5,protein_coding,90919
ENSRNOG00000000323,True,Prdm1,protein_coding,21630
ENSRNOG00000000327,True,Hace1,protein_coding,115455
ENSRNOG00000000340,True,Rtraf,protein_coding,15399
ENSRNOG00000000341,True,Nid2,protein_coding,55759
ENSRNOG00000000368,True,Grik2,protein_coding,704524
ENSRNOG00000000373,True,Ctnna3,protein_coding,1576418
ENSRNOG00000000378,False,,,
ENSRNOG00000000386,True,Pbld1,protein_coding,14339
ENSRNOG00000000387,True,Slc25a16,protein_coding,54264
ENSRNOG00000000390,False,,,
ENSRNOG00000000392,True,Supv3l1,protein_coding,20504
ENSRNOG00000000394,True,Srgn,protein_coding,14593
ENSRNOG00000000395,True,Kifbp,protein_coding,19575
ENSRNOG00000000396,True,Ddx50,protein_coding,30608
ENSRNOG00000000397,True,Ccar1,protein_coding,42610
ENSRNOG00000000398,True,Zup1,protein_coding,30079
ENSRNOG00000000406,True,Ros1,protein_coding,151228
ENSRNOG00000000407,True,Dcbld1,protein_coding,93150
ENSRNOG00000000408,True,Gopc,protein_coding,49283
ENSRNOG00000000410,True,Nepn,protein_coding,15920
ENSRNOG00000000411,True,Nus1,protein_coding,26744
ENSRNOG00000000412,True,Slc35f1,protein_coding,388243
ENSRNOG00000000413,False,,,
ENSRNOG00000000414,True,Cep85l,protein_coding,166775
ENSRNOG00000000415,True,Asf1a,protein_coding,15235
ENSRNOG00000000417,True,Numa1,protein_coding,46596
ENSRNOG00000000418,False,,,
ENSRNOG00000000419,False,,,
ENSRNOG00000000420,True,Nelfe,protein_coding,5837
ENSRNOG00000000421,True,Skic2,protein_coding,10668
ENSRNOG00000000422,True,Dxo,protein_coding,2167
ENSRNOG00000000423,False,,,
ENSRNOG00000000431,True,Atf6b,protein_coding,7973
ENSRNOG00000000432,True,Fkbpl,protein_coding,1562
ENSRNOG00000000433,True,Prrt1,protein_coding,3643
ENSRNOG00000000435,True,Ppt2,protein_coding,10311
ENSRNOG00000000436,True,Egfl8,protein_coding,2389
ENSRNOG00000000437,True,Agpat1,protein_coding,9321
ENSRNOG00000000438,True,Rnf5,protein_coding,2478
ENSRNOG00000000439,True,Ager,protein_coding,3188
ENSRNOG00000000440,True,Pbx2,protein_coding,4925
ENSRNOG00000000441,True,Gpsm3,protein_coding,1912
ENSRNOG00000000442,True,Notch4,protein_coding,24020
ENSRNOG00000000443,False,,,
ENSRNOG00000000451,True,RT1-Ba,protein_coding,4610
ENSRNOG00000000454,True,RT1-DOb,protein_coding,5851
ENSRNOG00000000455,True,Tap2,protein_coding,14050
ENSRNOG00000000456,True,Psmb8,protein_coding,3124
ENSRNOG00000000457,True,Tap1,protein_coding,10638
ENSRNOG00000000459,True,Psmb9,protein_coding,6466
ENSRNOG00000000461,True,Brd2,protein_coding,7237
ENSRNOG00000000463,True,Col11a2,protein_coding,29056
ENSRNOG00000000464,True,Rxrb,protein_coding,11958
ENSRNOG00000000465,True,Slc39a7,protein_coding,4525
ENSRNOG00000000466,True,Hsd17b8,protein_coding,6716
ENSRNOG00000000467,True,Ring1,protein_coding,3567
ENSRNOG00000000470,True,Vps52,protein_coding,70822
ENSRNOG00000000471,True,Rps18,protein_coding,6547
ENSRNOG00000000473,True,Pfdn6,protein_coding,1474
ENSRNOG00000000474,True,Ralgdsl2,protein_coding,21414
ENSRNOG00000000476,True,Zbtb22,protein_coding,3227
ENSRNOG00000000477,True,Daxx,protein_coding,5751
ENSRNOG00000000479,True,Kifc1,protein_coding,18058
ENSRNOG00000000480,True,Phf1,protein_coding,4978
ENSRNOG00000000481,True,Cuta,protein_coding,1596
ENSRNOG00000000483,True,Syngap1,protein_coding,30308
ENSRNOG00000000485,True,Bak1,protein_coding,8784
ENSRNOG00000000486,True,Ggnbp1,protein_coding,16872
ENSRNOG00000000487,True,Grm4,protein_coding,91697
ENSRNOG00000000488,True,Hmga1,protein_coding,7058
ENSRNOG00000000490,True,Rps10,protein_coding,4731
ENSRNOG00000000493,True,Snrpc,protein_coding,18185
ENSRNOG00000000495,True,Bltp3a,protein_coding,42144
ENSRNOG00000000498,True,Anks1a,protein_coding,153470
ENSRNOG00000000499,True,Tcp11,protein_coding,9786
ENSRNOG00000000500,True,Scube3,protein_coding,29402
ENSRNOG00000000501,True,Zfp523,protein_coding,22929
ENSRNOG00000000502,True,Def6,protein_coding,21360
ENSRNOG00000000503,True,Ppard,protein_coding,65183
ENSRNOG00000000504,True,Fance,protein_coding,11058
ENSRNOG00000000505,True,Rpl10a,protein_coding,5534
ENSRNOG00000000506,True,Tead3,protein_coding,19393
ENSRNOG00000000511,True,Srpk1,protein_coding,36325
ENSRNOG00000000512,True,Slc26a8,protein_coding,51755
